id	name	abb	category	pmid	source	samples	species	min	max	med	avg	dev	und	cut	ovr	inc	m	f	stage	who	region	methods	results	conclusions	validated	diag	prog	pred	ther	cost	relevance	implications	effect	comments	curator
175	hsa-let-7a-5p;hsa-let-7b-5p;hsa-miR-125a-5p;hsa-miR-615-5p 	hsa-let-7a-5p;hsa-let-7b-5p;hsa-miR-125a-5p;hsa-miR-615-5p 	RNA	27302927	Tissue	GBM=36;GBM=58	Homo Sapiens	34	78								23	13	IV	2007	Germany	miRNA array analysis;Cox proportional hazards model;MiScript primer assays;miRNA-mRNA correlation and gene set enrichment analysis;MGMT promoter methylation typing	Expressions of miRNAs hsa-let-7a-5p, hsa-let-7b-5p and hsa-miR-125a-5p positively correlated with overall survival and and that of hsa-miR-615-5p negatively correlated with overall survival	This signature may serve as a potential new marker for patient stratification independent of the MGMT methylation status	Yes	Potential	YES	Potential	NA	NA	NA	NA	NA	Independently validated;Identification and independent validation of a 4-miRNA signature that allows stratification of GBM patients into different prognostic groups in combination with one defined threshold and set of coefficients that could be utilized as diagnostic tool to identify GBM patients for improved and/or alternative treatment approaches	BP
951	Monoclonal antibody D110	D110	Protein	15541001	Tissue	114 GBM	Homo sapiens	35	78								194	154	NA	Pre 2007	Austria	Immunochemistry	D110 immunolabelling in 85.1%  of samples	D110 identifies immunocompetent cells, which positively influence survival of glioblastoma patients	No	NA	NA	NA	NA	NA	NA	NA	NA	D110 immunoreactivity in GBM does not seem to be related to tissue hypoxia  but more with immune cells	Cristian
976	DNA topoisomerase IIα;DNA topoisomerase Ki-67 		Protein	12091064	Tissue	114 GBM	Homo sapiens	35	78								NA		NA	NA	Austria	Immunochemistry	Survival analysis disclosed an association between high TIIα expression levels and prolonged surviva	High expression of TIIα and Ki-67 appears to be associated with a prolonged survival 	No	NA	NA	Potential	NA	NA	NA	NA	NA	None	Cristian
941	Osteonectin;Doublecortex;Semaphorin3B		DNA	15899794	Tissue	GBM=41	Homo Sapiens	50	78								26	15	IV	2000	USA	PCR based molecular analysis;Microarray chip RNA hybridization;Linear regression	No prognostic significance was associated with genetic changes in epidermal growth factor receptor (amplified in 17 of 41 patients), TP53 (mutated in 11 of 41 patients), p16INK4A (deleted in 15 of 33 patients), or phosphatase and tensin homologue (mutated in 15 of 41 patients);Expression levels of Osteonectin, Doublecortex, and Semaphorin3B together associate with patient survival	This gene expression study provides evidence that three genes which regulate cellular motility may contribute to the poor prognosis of patients with glioblastomas;No previous studies, of which we are aware of, have elucidated the conclusive links between expression of specific genes and survival of older glioblastoma patients	RT-PCR validation	NA	Potential	NA	NA	NA	NA	NA	NA	A study for older patients and a combination of markers predict survival	BP
60	TIMP-1 and CD63 coexpression		Protein	29523123	Tissue	111 samples (23 diffuse astrocytoma, 24 anaplastic astrocytoma, 74 GBM)	Homo Sapiens	2.6	78.5								81	42		Post 2010	Denmark	CD63 expression was investigated immunohistochemically in a cohort of 111 astrocytomas and correlated to tumor grade and overall survival by semi-quantitative scoring. CD63 expression in tumor-associated microglia/macrophages was examined by double-immunofluorescence with ionized calcium-binding adapter molecule 1 (Iba1). The association between CD63 and TIMP-1 was investigated using previously obtained TIMP-1 data from our astrocytoma cohort. Cellular co-expression of TIMP-1 and CD63 as well as TIMP-1 and the tumor stem cell-related markers CD133 and Sox2 was investigated with immunofluorescence. TIMP-1 and CD63 protein interaction was detected by an oligonucleotide-based proximity ligation assay and verified using co-immunoprecipitation.	The expression of CD63 was widely distributed in astrocytomas with a significantly increased level in glioblastomas. CD63 levels did not significantly correlate with patient survival at a protein level, and CD63 did not augment the prognostic significance of TIMP-1. Up to 38% of the CD63+ cells expressed Iba1; however, Iba1 did not appear to impact the prognostic value of CD63. A significant correlation was found between TIMP-1 and CD63, and the TIMP-1 and CD63 proteins were co-expressed at the cellular level and located in close molecular proximity, suggesting that TIMP-1 and CD63 could be co-players in glioblastomas. Some TIMP-1+ cells expressed CD133 and Sox2.	The present study suggests that CD63 is highly expressed in glioblastomas and that TIMP-1 and CD63 interact. CD63 does not add to the prognostic value of TIMP-1.	Yes	NA	NO	NO	NO	NA	While TIMP-1 is a prominent biomarker for cancer research, it's expression is not correlated with CD63 expression. This paper presents a possible pathway for examining chemoresistance.	NA	NA	TIMP-1 is a prominent gene inthe NF-kB pathway, a prominent pathway of examination in cnacer research. Examined with CD6s, the researchers concluded that CD63 does not add to the prognostic value of TIMP-1.	Erik Samuelsson
223	CD133 promoter methylation	CD133	Protein	26757925	Tissue	A=55;O=7;AA=28;OA=1;GBM=79	Homo Sapiens	2	79								110	60	II;III;IV	2007	China	Methylation specific PCR;Immunohostochemistry;Kaplan Meier plots;Cox model	Methylation of the CD133 promoter was found in 106 of the 170 tumors;For grade 2 tumors the percentage of methylated and unmethylated CD133 were 74.2 and 25.8 percent respectively;With the progression to GBM, the percentage of methylation decreased to 49.4 % and the percentage of unmethylation increased to 50.6 %;CD133 methylation is a significant prognostic factor for longer OS, independent of WHO grade, age, and extent of resection;Similar results were obtained for PFS and methylation of CD133	CD133 promoter methylation status in glioma is closely correlated with patient survival, which suggest CD133 promoter methylation pattern is a promising tool for prognostic purposes;Lack of association with CD133 IHC and with patient survival impede the use of CD133 IHC as a clinically useful biomarker for routine purposes and clinical decision making	No	NA	Potential	NA	NA	NA	NA	NA	NA	A stem cell marker	BP
315	CD40/CD40L 	CD40/CD40L	Protein	26008605	Tissue	GBM=86; AA=36	Homo Sapiens	11	79								47	39	III;III;IV	2007	Japan	IHC;qPCR;Enzyme-Linked Immunosorbent Assay	grade III gliomas express higher levels of CD40/CD40L than does grade IV GBM			NO	YES	NO	NO	NA	NA	NA	NA	the high expression of CD40/CD40L can be used as a biomarker for better prognoses in patients with gliomas. Immunotherapy using FGK45 significantly prolonged survival and represents a potential therapeutic strategy for gliomas including glioma-initiating cells.	RF
274	 IDH1/2, 1p/19q, TERT, EGFR	IDH1/2;1p/19q;TERT;EGFR	DNA	 26369702	Tissue	DG=142;AG=72	Homo Sapiens	20	79								127	87	II;III	2007	China	Fluorescence in situ hybridization;PCR	 patients with IDH1/2mutationand 1p/19q codeletio had more favorable overall survival than those without the marker. Patients with TERTp mutated tumors showed trend of longer overall survival than those with TERTp wild-type tumor.Tumors with EGFR amplification exhibited very short overall survival comparing to tumors without the gene amplification​	Most favorable prognosis was observed in IDHmut-OT gliomas (median OS = 11.8 years), followed by IDHmut gliomas (median OS = 5.9 years) and IDHwt gliomas (median OS = 5 years), and IDHwt-ET gliomas showed the poorest prognosis (median OS = 0.6 year).		NO	YES	NO	NO	NA	NA	NA	NA	 study demonstrates the independent prognostic values of histological grading and genetic signature based on IDH1/2 mutation, 1p/19q codeletion, TERTp mutation and EGFR amplification.	RF
165	Alpha thalassemia/mental retardation syndrome X-linked;Isocitrate dehydrogenase 1;TP53	ATRX;IDH1;p53	Protein	27478330	Tissue	163 GBM	Homo Sapiens	21	79	49.4									IV	NA	South Korea	Immunhistocheical assessment;Kaplan-Meier method	 15.3% of enrolled GBMs demonstrated loss of ATRX expression (ATRX-);10.4% expressed an aberrant IDH1 R132H protein (IDH1+);48.4% exhibited p53 overexpression (p53+)	Patients with each IDH1+, or ATRX-, or p53- GBMs showed better survival than patients with counterparts protein expressed GBMs.;in the case of double protein pairs, the patients with ATRX-/p53-, ATRX-/ IDH1+, and IDH1+/p53- GBMs revealed better survival than the patients with GBMs with the remained pairs;in the case of triple protein combinations, the patients with ATRX-/ p53-/IDH+ showed statistically significant survival gain than the patients with remained combination of proteins-expression status	Concrete	NA	YES	NA	NA	NA	NA	NA	NA	NA	Vanessa
617	xCT expression	xCT	Protein	23096413	Tissue	GBM=40	Homo Sapiens	21	79								19	21	IV	NA	Japan	Immunohistochemistry;Western blot;PCR;MRI;Fisher exact test;Kaplan-Meier method;Cox model	In invasive margins, xCT expression was weak in 20 patients and strong in 20 patients;A Karnofsky Performance Status Scale score less than 60 (hazard ratio [HR]: 4.525), partial removal (HR: 2.839) and strong xCT expression (HR: 4.134) were significantly associated with shorter progression-free survival and that partial removal (HR: 2.865), weak isocitrate dehydrogenase 1 R132H expression (HR: 15.729) and strong xCT expression (HR: 2.863) were significantly associated with shorter overall survival	Findings suggest that xCT is an independent predictive factor in GBMs	No	NA	Potential	Potential	NA	NA	NA	NA	NA	NA	Ahmed
402	STAT3 tyrosine 705 phosphorylation;STAT3 serine 727 phosphorylation	pTyr705-STAT3;pSer727-STAT3	Protein	25031733	Tissue	88 GBM (32 treated with standard adjuvant chemoradiotherapy (radiotherapy plus chemotherapy);56 received nonstandard chemoradiotherapy (including patients with radiotherapy or chemotherapy alone and patients without chemoradiotherapy))	Homo Sapiens	26	79	56							53	35	IV	NA	China	Immunohistochemical assessment;Mann-Whitney U test;Spearman’s rank correlation;log-rank test;kaplan-meier method;Cox proportional hazard model	Univariate analysis indicated significant correlations of high percentage of pSer727-STAT3 positive tumor cells with shorter PFS (P = 0.006) and OS (P = 0.002);in multivariate analysis, high pSer727-STAT3 expression was demonstrated as an independent unfavorable prognostic indicator for PFS (HR 1.830, P = 0.022) and OS (HR 1.797, P = 0.040);patients with high expression of both pTyr705-STAT3 and pSer727-STAT3 had a poorer prognosis compared with the remainder (P < 0.005)	high proportion of pSer727-STAT3 positive neoplastic cells in GBM is an independent unfavorable prognostic factor;increased expression of both pTyr705-STAT3 and pSer727-STAT3 is predictive of poorer clinical outcome, thereby adding to the growing evidence that STAT3 inhibition may be a potential therapeutic strategy in glioblastoma	Potential	NA	Potential	Potential	Potential	NA	NA	NA	STAT3 inhibition may be a potential therapeutic strategy in GBM	NA	Vanessa
659	YKL-40 expression	YKL-40	Protein	22655594	Tissue	GBM=105	Homo Sapiens	26	79								55	50	IV	NA	Italy	Semiquantitative immunohistochemical staining;Methylation specific PCR;Kaplan-Meier method;Log-rank test;Cox model	The MGMT promoter was methylated in 48 patients and nonmethylated in 57;The median PFS was 10.7 months (14.9 months in the gross-total removal subgroup), and the median OS was 12.5 months (17.4 months in the gross-total removal group);OS was significantly correlated to the extent of resection, MGMT status, and YKL-40;All 3 factors reached statistical significance with respect to patient survival;Surgical removal contributed more than the 2 other factors to the survival prediction (β = -0.625);YKL-40 (β = -0.3867) contributed more than MGMT (β = -0.1705) to the predicted survival	The extent of removal is the most important factor influencing the OS of patients harboring GBMs;When biological aggressiveness is taken into account, YKL-40 expression was found to be an independent prognostic factor that predicts OS better than MGMT status	No	NA	Potential	NA	NA	NA	NA	NA	NA	NA	Ahmed
963	Her-2/neu	Her-2/neu	Protein	12902879	Tissue	149 GBM	Homo sapiens	26	79								81	68	NA	NA	USA	Immunochemistry	Her-2/neu overexpression was detected in 15.4% patients and has less survival rate	Her-2/neu overexpression may be a poor prognostic marker in patients with GBM	No	NA	Potential	NA	NA	NA	NA	NA	NA	Her-2/neu may be a potential prognostic and target for tumor-specific therapy	Cristian
879	EGFR 	EGFR	DNA	18507036	Tissue	55 samples (27 primary glioblastomas (GBM), 24 anaplastic oligodendrogliomas (AO) and four anaplastic oligoastrocytomas (AOA).)	Homo Sapiens	27	79		56.1						27	28	II;III;IV	Pre 2010	Portugal	EGFR overexpression, EGFRvIII mutation and EGFR amplification were determined by immunohistochemistry and chromogenic in situ hybridization (CISH) in 27 primary glioblastomas (GBM), 24 anaplastic oligodendrogliomas (AO) and four anaplastic oligoastrocytomas (AOA).	EGFR overexpression was associated with EGFR amplification, being found in 48% and 53% GBM, 33% and 40% AO and 75% and 67% AOA, respectively. EGFRvIII was found in 22% GBM, 8% AO and was absent in AOA. No association was observed between EGFR alterations and patient survival	We characterized, for the first time, EGFR molecular alterations in Portuguese patients with malignant glioma and identified a subpopulation of patients presenting putative biomarkers for EGFR-based therapies.	Potential	NA	Potential	Potential	Potential	NA	Potential patient cohort selector	Potential method to successfully ddivide patient cohorts for nimotuzumab treatment.	Could lead to new method of defining patient cohorts for EGFR target treatment studies.	Biomarker correlated with tumor grade paper and patient outcome paper.	Erik Samelsson
898	c-erbB-1-4 receptor proteins	c-erb-1-4	Protein	17987795	Tissue	GBM=21;Control=3	Homo Sapiens;Mus musculus	30	79								12	9	NA	2000	Norway	Immunohistochemistry;Survival curves;Log rank-test	Nine of 21 tumours (43 %)were immunoreactive for c-erbB-2, 19 of 20 tumours (95 %) for c-erbB-3, and 21 of 21 for c-erbB-4;All glioblastomas were negative for the mutated variant of EGFR (i.e. EGFRvIII);Kaplan-Meier plots as a function of growth factor receptor expression did not show any significant association with survival among the GBM patients	Immunohistochemistry is well suited for detection of erbreceptor proteins in glioblastoma tissue and demonstrated abundant and simultaneous immunoreactivity of thesereceptors. 	No	Potential	NO	NO	Potential	NA	NA	NA	NA	These receptor proteins may serve as potential basis for targeted molecular diagnosis and therapy, reliable detection systems are required, and immunohistochemistry appears as a feasible technique;A study more focussed on immunohistochemistry rather than biomarker discoivery	BP
543	𝛂v𝛃3 integrin;Fibroblast growth factor receptor 1	𝛂v𝛃3;FGFR1	Protein	23566417	Tissue	27 GBM	Homo Sapiens	38	79								18	9	IV	NA	France	Patients treated with Tipifarnib; Overall survival (OS) and biomarker analysis by immunohistochemistry	FGFR1  and αvβ3 over-expressions were associated with reduced overall survival	αvβ3 integrin and FGFR1 are bad prognostic factors of OS for patients with GBM, confirming their involvement in GBM radioresistance and aggressiveness	NA	NO	YES	YES	NA	NA	NA	NA	NA	good biomarkers to predict treatment response	ANA
569	miR-106a	miR-106a	RNA	23416698	Tissue	GBM=156	Homo Sapiens	8	80								NA		IV	NA	China	Quantitative real-time PCR;Cox model;Log-rank test	Data showed a very good correlation of miR-106a or U6 expression between fresh frozen and FFPE GBM specimens, with Pearson's correlation coefficients of 0.849 and 0.823, respectively;Their expression levels in archival FFPE samples were quite stable for at least 7 years when stored at room temperature;Expression level of miR-106a was an independent and significant predictor of overall survival in GBM patients 	MiR-106a expression was relatively abundant and stable in a large cohort of archival FFPE GBM specimens and could be used as an independent prognostic biomarker in those patients;Thus, miR-106a can be used to predict prognosis and treatment response in individual GBM patients	Yes(By in situ hybridization assay in the second cohort)	NO	YES	NO	NO	NA	NA	NA	NA	NA	ANA
737	Calcyclin-binding protein	CacyBP/SIP	Protein	21764585	Tissue	Grade I A=4;Grade II A=20;AA=9;GBM=44;Control=3	Homo sapiens	14	80								55	22	I;II;III;IV	2000	China	Western blot;Immunohistochemistry;Chi-square test;Kaplan-Meier method;Cox regression analysis	Of 77 tumors, 49 were negative for CacyBP/SIP expression;Loss of CacyBP/SIP expression was significantly associated with a high histological grade and with poor survival in univariate and multivariate analyses;Loss of CacyBP/SIP expression correlated with poor prognosis in patients with astrocytomas and was an independent prognostic factor;The mean survival time of patients with tumors that had lost expression of CacyBP/SIP was 25.58 months compared to a mean survival time of 36.37 months for patients with CacyBP/SIP-expressing tumors;CacyBP/SIP expression was also negatively correlated with PCNA expression in astrocytoma tissue	Findings suggest that CacyBP/SIP may have an important role as a negative regulator of astrocytoma development and progression, and that CacyBP/SIP might be a useful molecular marker for predicting the prognosis of astrocytoma	No	NA	Potential	NA	NA	NA	NA	NA	NA	Of astrocytoma in general	
36	Carbonic anhydrase IX	CA-IX	Protein	29952031	Tissue	66 GBM	Homo Sapiens	17	80								48	26	NA	Post 2010	Turkey	IHC;statistical analysis for patient survival related to CA-IX expression	Overexpression of CA-IX in patients who had progressed in the first 3 months was higher than in those who had progressed after 3 months.The difference was statistically significant. Our findings indicated that CA-IX may be a potential prognostic biomarker in the treatment of GBM.	There was not a statistically significant difference in median PFS (3.5 vs. 8 months, P = 0.054) between patients with high or low levels of CA-IX expression. In multivariate analysis, the variables that were identified as significant prognostic factors for OS were preoperative Karnofsky performance scale score (KPS) (hazard ratio (HR), 3.703; P = 0.001), CA-IX overexpression (HR, 1.967; P = 0.019), and incomplete adjuvant temozolomide treatment (HR, 2.241; P = 0.003) and gross-total resection (HR, 1.956; P = 0.034).	Potential	NA	Potential	NA	NA	NA	NA	NA	NA	CA-IX overexpression has a positive correlation with preoperative Karnofsky performance scale score, incomplete adjuvant temozolomide treatment and gross-total resection.	Erik Samuelsson
464	Fatty acid binding protein 7	FABP7	Protein	24274717	Tissue;Glioma Stem Cells	GBM Set1=16;O set1=2;AA Set1=2;Anaplastic ganglioglioma=1;GBM set2=18;AA set2=8;DA Set2=8	Homo Sapiens;Mus musculus	17	80								23	11	II;III;IV	2007	Japan	Development of patient derived GSC lines;Western blot;Immunohistochemistry;Transplantation of GSCs into NOD-SCID mouse brain;Real-time PCR;ANOVA;Dunnett's tests	FABP7 was found to be highly enriched in GSCs and its localization was found in cytosol and nuclei;FABP7 expression was significantly downregulated in differentiated GSCs induced by the addition of serum;In the glioma surgical specimens, FABP7 was highly expressed in the majority of GBM;Double immunostaining for FABP7 and Sox2 showed that FABP7(+) Sox2(+) tumor cells were significantly increased in glioblastoma (grade IV) compared with diffuse astrocytoma (grade II) and anaplastic astrocytoma (grade III)	Data introduces FABP7 as a marker for GSCs and further highlights its possible significance for glioma diagnosis and treatment	No	Potential	NA	NA	NA	NA	NA	NA	NA	For glioma stem cells only	
797	PEA-15	PEA-15	Protein	20455002	Tissue	65 tumors( 12 diffuse astrocytoma (grade II), 9 anaplastic astrocytoma (grade III), and 44 glioblastoma (grade IV))	Homo Sapiens	21	80	56							40	25	II;III;IV	Pre 2010	Japan	PEA-15 expression levels were immunohistochemically measured and categorized as no, low, or high expression. All tumors expressed PEA-15 in our study. Next, we evaluated prognosis and PEA-15 expression levels in 43 patients with high-grade astrocytomas based on the following parameters: age, gender, WHO grade, surgical resection extent, MIB-1 labeling index (LI), and PEA-15 expression level. Multivariable analyses revealed that high PEA-15 expression level displayed a significant correlation with longer overall survival (OS) in high-grade astrocytomas (P = 0.0024). 	 Twenty-three (35.4%) and 42 (64.6%) tumors expressed low and high PEA-15 levels, respectively. In grade II astrocytoma (diffuse astrocytoma) and grade III astrocytoma (anaplastic astrocytoma), 100% and 88.9% of patients expressed high PEA-15 levels, respectively, while a smaller number (50%) of patients with grade IV astrocytoma (glioblastoma) expressed high PEA-15 levels. PEA-15 expression level was inversely associated with WHO grade (P = 0.0006). Patients with total resection survived significantly longer (P = 0.0044) than those with lower resection extent, while patients with MIB-1 labeling index ≤25% indicated significant (P = 0.0434) correlation with OS as well. 	In conclusion, PEA-15 expression level was inversely associated with WHO grade and may serve as an important prognostic factor for high-grade astrocytomas.	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	Standard patient survival correlation with biomarker paper.	Erik Samelsson
1003	p16;p53;EGFR;MDM2;Bcl-2	p16;p53;EGFR;MDM2;Bcl-2	Protein	9804374	Tissue	95 GBM	Homo sapiens	22	80								NA		IV	Pre 2007	USA	Immunochemistry	Survival testing with or without altered expression of p16, p53, EGFR, MDM2 or Bcl-2 showed no significant differences by age group or by gene expression	These four proteins dont have any prognostic value for GBM	No	NA	NA	NA	NA	NA	NA	NA	NA	None	Cristian
831	O6-methylguanine DNA methyltransferase	MGMT	DNA	19861461	Tissue	67 GBM	Homo Sapiens	26	80	56							41	26	IV	Pre 2010	Germany	We conducted a translational study involving 67 newly diagnosed glioblastoma patients treated at our institution from 1998 to 2004. All patients were treated by open resection, followed by radiotherapy and adjuvant temozolomide chemotherapy. The tumors were investigated for MGMT promoter methylation, mRNA and protein expression, as well as presence of MGMT sequence polymorphisms. In addition, we screened for genetic aberrations of the EGFR, TP53, CDK4, MDM2, and PDGFRA genes as well as allelic losses on chromosomal arms 1p, 10q, and 19q. RT-PCR, IHC.	Correlation of molecular findings with clinical data revealed significantly longer time to progression after onset of chemotherapy and longer overall survival of patients with MGMT-hypermethylated tumors. In contrast, MGMT protein expression, MGMT polymorphisms, and aberrations in any of the other genes and chromosomes were not significantly linked to patient outcome. Multivariate analysis identified MGMT promoter hypermethylation and near-complete tumor resection as the most important parameters associated with better prognosis.	Our study provides novel insights into the significance of molecular and clinical markers in predicting the prognosis of glioblastoma patients, which may improve stratification of patients into distinct prognostic subgroups	Yes	NO	YES	YES	YES	NA	O6-methylguanine-DNA methyltransferase (MGMT) promoter methylation has been firmly established as a biomarker in patients diagnosed with gliomas, for both clinical trials and routine clinical management.	Use in companion diagnostics and predicting patient outcome.	Methylation status of the MGMT gene is crucial to promoting DNA repair. If the MGMT gene is methylated, cancer patients tend to respond better to alkylating drug therapy.	O(6)-Methylguanine DNA methyltransferase determined by promoter hypermethylation is an established GBM biomarker for clinically predicting response to treatment. Key difference in this paper: authors examine markers for genetic aberrations of the EGFR, TP53, CDK4, MDM2, and PDGFRA genes as well as allelic losses on chromosomal arms 1p, 10q, and 19q.	Erik Samelsson
921	Minichromosome Maintenance Protein 7		Protein	16619508	Tissue	GBM=15	Homo Sapiens	38	80								7	8	IV	2000	Italy	Immunohistochemistry;Paired t-test	The samples examined were subdivided into 2 cytological subsets, small cell (SC) or multiforme cell (MC) glioblastoma, according to the predominant cell type defined in individual specimens;MCM7 detected more cells in the cycle than Ki67 and PCNA and all cases of SC glioblastoma, the most aggressive subset, displayed a significant increase of MCM7-stained nuclei versus those stained with Ki67	Cell cycle-associated proteins MCM are not only useful markers of proliferation, but also valid aids for diagnosis in cerebral glioblastoma	No	Potential	NO	NO	NO	NA	NA	NA	NA	Proposed as a reliable tool for GBM proliferation index	BP
470	IDH1;MGMT promoter methylation;1p19q co-deletion	IDH1;MGMT;1p/19q	DNA	24160898	Tissue	GBM=171;AA=40;AO=30;AOA=26	Homo Sapiens	3	81								155	112	II;III;IV	2007	Japan	Methylation-specific PCR;Fluorescence in situ hybridization;t-test;KPS;Kaplan Meier analysis;Cox non-parametric model	In Group 1 (GBM+AA), patients with IDH1 mutations exhibited a significantly longer survival time than patients with wild-type IDH1;However, no significant difference was observed in Group 2 (AO+AOA), although patients with IDH1 mutations tended to show prolonged survival;For both Group 1 and Group 2, patients with MGMT methylation survived longer than those without this methylation;Further, patients with 1p/19q co-deletion showed significantly better outcome in Group 2	Study confirms the utility of IDH1 mutations and MGMT methylation in predicting the prognosis of Group 1 patients (GBM + AA) and demonstrated that IDH1 mutations may serve as a more reliable prognostic factor for such patients;Study suggests that patients survive longer if they have IDH1 mutations and undergo total resection;Irrespective of MGMT promoter methylation status, the prognosis of glioma patients can be improved if total resection is performed	This is itself a validation study	NA	YES	NA	NA	NA	NA	NA	NA	Results obtained for GBM and AA combined together as one group	
253	MGMT promoter methylation;IDH mutation	MGMT;IDH	DNA	26503470	Tissue	GBM=274	Homo Sapiens	18	81								166	105	IV	2007	China	Surgery;Temozolomide treatment;Radiotherapy;Chemotherapy;DNA extraction and molecular evaluation;Surveillance;Isogenic IDH1-R132H expressing astrocytic and GBM lines;Cox model;Kaplan Meier analysis	For patients who underwent TMZ and Radiation Therapy, OS and PFS was most favorable for those with tumors harboring both mIDH and methMGMT (median OS: 35.8 mo, median PFS: 27.5 mo);Patients afflicted GBMs with either mIDH or methMGMT exhibited intermediate OS and PFS (mOS: 36 and 17.1 mo; mPFS: 12.2 mo and 9.9 mo, respectively);Poorest OS and PFS was observed in wild type IDH1 (wtIDH1) glioblastomas that were MGMT promoter unmethylated (mOS: 15 mo, mPFS: 9.7 mo);For patients with wtIDH GBM TMZ+RT was associated with improved OS and PFS relative to patients treated with RT (OS: 15.4 mo v 9.6 mo, PFS: 9.9 mo v 6.5 mo);While TMZ+RT and RT treated mIDH patients exhibited improved overall survival relative to those with wtIDH, there were no differences between the TMZ+RT or RT group;These results suggest that mIDH1 conferred resistance to TMZ;Supporting this hypothesis, exogenous expression of mIDH1 in independent astrocytoma/glioblastoma lines resulted in a 3–10 fold increase in TMZ resistance after long-term passage	IDH mutation and MGMT promoter methylation status independently associate with favorable outcome in TMZ+RT treated glioblastoma patients;These biomarkers differentially impact clinical TMZ response	No	NA	NA	YES	NA	NA	NA	NA	NA	A prospective study	BP
423	Alpha thalassemia/mental retardation syndrome X-linked	ATRX	Protein	24810474	Tissue	169 samples from CGGA (44 Grade II A;24 Grade III AA;81 Grade IV primary GBM;20 Grade IV secondary GBM)	Homo Sapiens	18	81								107	63	II;III;IV	2007	China	whole transcriptome sequencing;PCR;pyrosequencing;Immunohistochemical assessment;RPKM method;Kaplan-Meier method;Student's t-test;ANOVA;Chi-square test	low ATRX mRNA expression was detected in 68% of A, 50% of AA and 41.6% of GBM;low ATRX expression closely overlapped with mutations in IDH1/2 (P<0.0001) in astrocytic tumors across WHO grades II–IV;significant association between low ATRX expression and longer overall survival was identified in our cohort (P<0.01);ATRX combined with IDH1/2 and Ki-67 was used to re-classify patients with astrocytic tumors: group A1 containing IDH1/2 mutations and low ATRX expression predicted a better prognostic outcome, whereas group A3 carrying wild-type IDH1/2 and high Ki-67 expression had the shortest overall survival;IDH-mutant tumors with low ATRX expression and IDH-wild-type tumors with high Ki-67 expression were grouped into group A2	ATRX in cooperation with IDH1/2 and Ki-67 defines three subgroups of astrocytic tumors regardless of the conventional WHO grades consensus.;molecular stratification in astrocytic tumors may aid in treatment strategy selection, therapeutic trial design, and clinical prognosis evaluation	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	NA	Vanessa
287	Cysteine-rich protein 61	CCN1	Protein	26201842	Tissue	GBM=46	Homo Sapiens	19	81								25	21	NA	2007	Japan	IHC;pyrosequencing	The median PFS and OS times in patients with positive MGMT expression were significantly shorter than in those with negative MGMT expression;The median PFS and OS times in patients with high CCN1 expression were significantly shorter than in those with low CCN1 expression	High expression of CCN1 is asscoiated with shorter progression-free survival and overall survival		NO	YES	NO	NO	NA	NA	NA	NA	CCN1 proved to be an independent prognostic factor for patient survival. Moreover, in the patients who underwent gross total resection, the PFS and OS times of those with high CCN1 expression were significantly shorter than those with low CCN1 expression	RF
327	Isocitratate dehydrogenase 1	IDH1	DNA		Tissue	AA=37	Homo Sapiens	20	81								16	21	III	2007	Canada	IHC;FISH													RF
952	Target of methylation-associated silencing 1		DNA	15466382	Tissue	25 GBM	Homo sapiens	21	81								NA		IV	Pre 2007	USA	PCR;Bisulfite sequencing;Immunochemestry	TMS1 was aberrantly methylated in 43% of GBM specimens	role for the epigenetic silencing of TMS1 in the pathogenesis of human GBM	No	NA	Potential	NA	NA	NA	NA	NA	NA	Methylation of TMS1 might be a  prognostic marker and/or predictor of patient survival and tumor malignancy	Cristian
97	POZ/BTB And AT Hook Containing Zinc Finger 1	PATZ1	Protein	28938636	Tissue	45 Grade IV GBM;22 O (12 Grade II+10 Grade III);269 perilesional normal brain parenchymas	Homo Sapiens	22	81								45	22	II;III;IV	2007	Italy	Immunohistochemical assessment;Fisher's exact test;Kaplan-Meier method	PATZ1 gene upregulated in gliomas compared to normal brain and, among GBMs, particularly enriched in the proneural subtype and co-localize with stemness markers;in GBM-derived glioma-initiating stem cells (GSCs) PATZ1 is overexpressed compared to differentiated tumor cells and its expression significantly correlates with the characteristic stem cell capacity to grow as neurospheres in vitro;PATZ1 lower levels show poor prognosis in GBM and in the proneural subgroup;PATZ1 might be diagnostic and prognostic biomarker for intra-subtype heterogeneity of proneural GBM;PATZ1 suppresses the expression of the mesenchyme-inducer CXCR4;PATZ1 and CXCR4 are inversely correlated in GSC and proneural GBM	central role of PATZ1 in regulating malignancy of GBM	Potential	Potential	Potential	NA	NA	NA	NA	NA	NA	NA	Vanessa
